symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,realistic
PLTR,2025-05-22,2025-05-27,120.87999725341797,126.47999725341796,4.332693685672342,1,Trailing Stop,175,True
MRVL,2025-05-22,2025-05-27,60.017852778746196,64.30441266837113,6.842141364882199,1,Trailing Stop,170,True
SHOP,2025-05-22,2025-05-27,100.80999755859375,106.14600219726562,4.993130411565007,1,Trailing Stop,160,True
FSLR,2025-05-23,2025-05-28,158.5500030517578,155.37900299072265,-2.3,1,Stop Loss,175,True
ADI,2025-05-23,2025-05-30,212.58035205106998,208.32874501004858,-2.3,3,Stop Loss,145,True
AMD,2025-05-23,2025-05-30,113.18000030517578,110.91640029907227,-2.3,3,Stop Loss,125,True
LULU,2025-05-27,2025-05-30,321.20001220703125,314.7760119628906,-2.3,2,Stop Loss,125,True
AMAT,2025-05-27,2025-05-29,161.13144155617493,157.90881272505143,-2.3,1,Stop Loss,120,True
MU,2025-05-27,2025-05-29,96.5096115936768,98.84899060831572,2.123985524351852,1,Trailing Stop,110,True
RIVN,2025-05-28,2025-05-30,15.670000076293945,15.356600074768066,-2.3,1,Stop Loss,155,True
FSLR,2025-05-28,2025-05-30,158.0,154.84,-2.3,1,Stop Loss,150,True
CHWY,2025-05-29,2025-06-02,44.4900016784668,46.94200057983399,5.211348188044597,1,Trailing Stop,85,True
CRWD,2025-05-30,2025-06-03,471.0,487.16000976562503,3.130999950238861,1,Trailing Stop,100,True
ROKU,2025-05-30,2025-06-03,71.75,73.52600097656251,2.175262685104549,1,Trailing Stop,95,True
SMCI,2025-06-02,2025-06-04,41.33000183105469,44.04200134277343,6.2618180294417325,1,Trailing Stop,125,True
AMD,2025-06-02,2025-06-04,114.5,118.34000244140626,3.053713922625551,1,Trailing Stop,105,True
NVDA,2025-06-02,2025-06-04,138.75480693174418,141.64228718949522,1.780994757299786,1,Trailing Stop,95,True
PATH,2025-06-03,2025-06-05,13.039999961853027,13.327999687194824,1.908586857241607,1,Trailing Stop,155,True
GOOGL,2025-06-04,2025-06-09,169.8708734285067,174.93182216601494,2.6792916439192975,2,Trailing Stop,100,True
CRWD,2025-06-05,2025-06-11,463.1199951171875,476.57600097656245,2.6055117466845834,3,Trailing Stop,110,True
AVGO,2025-06-10,2025-06-12,244.89254626935502,254.06160891314101,3.4441166680920645,1,Trailing Stop,110,True
SNOW,2025-06-11,2025-06-13,206.13999938964844,211.06800231933593,2.090609752730483,1,Trailing Stop,85,True
