symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,pos_size,spy_regime
SNOW,2024-11-12,2024-11-14,126.37999725341797,131.0800033569336,3.418947781025139,1,Trailing Stop,85,0.33,BULL
NET,2024-11-12,2024-11-14,91.41999816894531,94.64399719238281,3.2265796193514564,1,Trailing Stop,120,0.33,BULL
INTC,2024-11-14,2024-11-18,24.809999465942383,24.313799476623533,-2.3,1,Stop Loss,125,0.33,BULL
MRVL,2024-11-15,2024-11-21,87.66249780582876,92.03766639890246,4.690923944198618,3,Trailing Stop,110,0.33,BULL
INTC,2024-11-19,2024-11-21,24.06999969482422,24.630000305175784,2.026550134821907,1,Trailing Stop,125,0.33,BULL
TXN,2024-11-19,2024-11-25,190.60704000633993,195.27214397098876,2.147498247962754,3,Trailing Stop,140,0.33,BULL
ZS,2024-11-22,2024-11-26,214.16000366210938,208.9559155731201,-2.7300000000000004,1,Stop Loss,115,0.33,BULL
CRWD,2024-11-27,2024-12-02,349.5,342.51,-2.3,1,Stop Loss,95,0.33,BULL
MRVL,2024-11-29,2024-12-03,96.99657157853395,95.05664014696326,-2.3,1,Stop Loss,140,0.33,BULL
COIN,2024-12-03,2024-12-05,312.0,341.9919921875,9.312818008814098,1,Trailing Stop,170,0.33,BULL
RIVN,2024-12-04,2024-12-06,12.085000038146973,13.233000373840332,9.199382143728855,1,Trailing Stop,100,0.33,BULL
FSLR,2024-12-10,2024-12-12,205.67999267578125,201.5663928222656,-2.3,1,Stop Loss,120,0.33,BULL
AMZN,2024-12-20,2024-12-30,225.00999450683594,220.50979461669922,-2.3,4,Stop Loss,95,0.45,BEAR
NVDA,2024-12-31,2025-01-03,135.96280522543205,143.0808580939246,4.935294209096763,1,Trailing Stop,100,0.45,BEAR
TSM,2025-01-10,2025-01-14,197.85407856921526,202.38501261939172,1.9900382357250217,1,Trailing Stop,110,0.45,BEAR
MU,2025-01-10,2025-01-15,95.52692439886636,101.97779191393539,6.452931234479888,2,Trailing Stop,120,0.45,BEAR
